Stand,Total_Rows,Train_Rows,Test_Rows,Sensors,Train_File,Test_File,Date_Start,Date_End
Stand18,587,410,177,9,MILL_Stand18_TRAINING_DATA.csv,MILL_Stand18_TEST_DATA.csv,2025-11-05 08:48:38.270,2025-11-05 22:06:21.387
Stand17,589,412,177,9,MILL_Stand17_TRAINING_DATA.csv,MILL_Stand17_TEST_DATA.csv,2025-11-05 08:48:37.257,2025-11-05 22:06:20.377
Stand15,587,410,177,9,MILL_Stand15_TRAINING_DATA.csv,MILL_Stand15_TEST_DATA.csv,2025-11-05 08:48:36.247,2025-11-05 22:06:19.363
Stand16,587,410,177,9,MILL_Stand16_TRAINING_DATA.csv,MILL_Stand16_TEST_DATA.csv,2025-11-05 08:48:37.257,2025-11-05 22:06:19.363
Stand14,587,410,177,9,MILL_Stand14_TRAINING_DATA.csv,MILL_Stand14_TEST_DATA.csv,2025-11-05 08:48:35.237,2025-11-05 22:06:17.350
Stand13,586,410,176,9,MILL_Stand13_TRAINING_DATA.csv,MILL_Stand13_TEST_DATA.csv,2025-11-05 08:48:34.230,2025-11-05 22:06:16.343
Stand12,586,410,176,9,MILL_Stand12_TRAINING_DATA.csv,MILL_Stand12_TEST_DATA.csv,2025-11-05 08:48:33.217,2025-11-05 22:06:15.333
Stand11,604,422,182,9,MILL_Stand11_TRAINING_DATA.csv,MILL_Stand11_TEST_DATA.csv,2025-11-05 08:48:32.217,2025-11-05 22:06:13.317
Stand10,581,406,175,9,MILL_Stand10_TRAINING_DATA.csv,MILL_Stand10_TEST_DATA.csv,2025-11-05 08:49:38.770,2025-11-05 22:06:12.310
Stand09,585,409,176,9,MILL_Stand09_TRAINING_DATA.csv,MILL_Stand09_TEST_DATA.csv,2025-11-05 08:49:36.757,2025-11-05 22:06:10.300
Stand08,581,406,175,9,MILL_Stand08_TRAINING_DATA.csv,MILL_Stand08_TEST_DATA.csv,2025-11-05 08:49:30.707,2025-11-05 22:06:03.230
Stand07,581,406,175,9,MILL_Stand07_TRAINING_DATA.csv,MILL_Stand07_TEST_DATA.csv,2025-11-05 08:49:28.693,2025-11-05 22:06:01.210
Stand06,581,406,175,9,MILL_Stand06_TRAINING_DATA.csv,MILL_Stand06_TEST_DATA.csv,2025-11-05 08:49:25.667,2025-11-05 22:05:58.180
Stand05,581,406,175,9,MILL_Stand05_TRAINING_DATA.csv,MILL_Stand05_TEST_DATA.csv,2025-11-05 08:49:21.633,2025-11-05 22:05:53.137
Stand04,582,407,175,9,MILL_Stand04_TRAINING_DATA.csv,MILL_Stand04_TEST_DATA.csv,2025-11-05 08:49:17.590,2025-11-05 22:05:49.090
Stand03,581,406,175,9,MILL_Stand03_TRAINING_DATA.csv,MILL_Stand03_TEST_DATA.csv,2025-11-05 08:49:12.550,2025-11-05 22:05:43.037
Stand01,581,406,175,9,MILL_Stand01_TRAINING_DATA.csv,MILL_Stand01_TEST_DATA.csv,2025-11-05 08:48:52.387,2025-11-05 22:05:21.870
